"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.556396480E-1,1.035980225E0,8.786773682E-1,4.991302490E0
6.581420900E-1,1.138931274E0,8.224029541E-1,5.030807495E0
6.606140130E-1,1.179641724E0,7.667388916E-1,5.020034790E0
6.630859370E-1,9.827117920E-1,6.667938232E-1,5.405502319E0
6.655883790E-1,4.978942871E-1,3.902587891E-1,6.329666138E0
6.680603020E-1,-1.928405762E-1,1.376647949E-1,7.034164429E0
6.705627440E-1,2.742004395E-2,-1.257324219E-2,7.238265991E0
6.730346680E-1,-1.443634033E-1,-3.190307617E-1,7.669815063E0
6.755065910E-1,-1.515640259E0,-1.180343628E0,8.087005615E0
6.780090330E-1,-1.260055542E0,-9.798278809E-1,8.467681885E0
6.804809570E-1,-1.263046265E0,-1.302444458E0,8.598770142E0
6.829528810E-1,-1.446807861E0,-1.201889038E0,8.860931396E0
6.854553220E-1,-1.447402954E0,-1.034896851E0,8.977050781E0
6.879272460E-1,-1.528808594E0,-1.063018799E0,9.242813110E0
6.904296870E-1,-1.567108154E0,-1.152801514E0,9.349349976E0
6.929016110E-1,-1.588653564E0,-1.136047363E0,9.429565430E0
6.953735350E-1,-1.665878296E0,-1.197692871E0,9.567230225E0
6.978759760E-1,-1.710159302E0,-1.254562378E0,9.604934692E0
7.003479000E-1,-1.744277954E0,-1.275512695E0,9.634857178E0
7.028503410E-1,-1.782592773E0,-1.345535278E0,9.704299927E0
7.053222650E-1,-1.820892334E0,-1.417968750E0,9.697113037E0
7.077941890E-1,-1.861602783E0,-1.321594238E0,9.663589478E0
7.102966310E-1,-1.910079956E0,-1.494583130E0,9.576202393E0
7.127685540E-1,-1.984893799E0,-1.710662842E0,9.600143433E0
7.152404780E-1,-1.974731445E0,-1.625656128E0,9.473846436E0
7.177429200E-1,-2.027404785E0,-1.746566772E0,9.320022583E0
7.202148430E-1,-2.037567139E0,-1.859695435E0,9.222457886E0
7.226867670E-1,-2.116577148E0,-1.941696167E0,9.109329224E0
7.251892090E-1,-2.176437378E0,-2.002746582E0,9.328399658E0
7.276611320E-1,-2.196792603E0,-2.029678345E0,9.305664062E0
7.301635740E-1,-2.206359863E0,-2.309799194E0,9.282913208E0
7.326354980E-1,-2.153686523E0,-2.379241943E0,9.366714478E0
7.351074220E-1,-2.138122559E0,-2.447463989E0,9.302062988E0
7.376098630E-1,-2.094436646E0,-2.600708008E0,9.337982178E0
7.400817870E-1,-2.101623535E0,-2.679702759E0,9.317626953E0
7.425537110E-1,-2.135131836E0,-2.773681641E0,9.334396362E0
7.450561520E-1,-2.163269043E0,-2.817382812E0,9.303268433E0
7.475280760E-1,-2.203964233E0,-2.823364258E0,9.254180908E0
7.500305170E-1,-2.158477783E0,-2.881423950E0,9.263763428E0
7.525024410E-1,-2.155487061E0,-2.935287476E0,9.235031128E0
7.549743650E-1,-2.112991333E0,-2.901168823E0,9.170379639E0
7.574768060E-1,-2.087249756E0,-2.964019775E0,9.099761963E0
7.599487300E-1,-2.068099976E0,-3.032257080E0,9.046493530E0
7.624206540E-1,-1.973526001E0,-3.038238525E0,8.980041504E0
7.649230950E-1,-1.937622070E0,-3.141784668E0,8.830413818E0
7.673950190E-1,-1.956176758E0,-3.224990845E0,8.675979614E0
7.698669430E-1,-1.923843384E0,-3.202239990E0,8.537124634E0
7.723693840E-1,-1.982513428E0,-3.090316772E0,8.388076782E0
7.748413080E-1,-1.911880493E0,-3.351882935E0,8.239044189E0
7.773437500E-1,-1.758056641E0,-3.378219604E0,8.296508789E0
