"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.172363280E-1,-8.692016602E-1,2.952056885E0,8.713699341E0
4.197082520E-1,-8.344879150E-1,2.956237793E0,8.665206909E0
4.221801760E-1,-7.794189453E-1,2.918533325E0,8.602355957E0
4.246521000E-1,-7.890014648E-1,2.881423950E0,8.508987427E0
4.271545410E-1,-7.099914551E-1,2.896987915E0,8.508987427E0
4.296264650E-1,-6.381683350E-1,2.867050171E0,8.528137207E0
4.321289060E-1,-5.884857178E-1,2.859878540E0,8.485641479E0
4.346008300E-1,-5.950622559E-1,2.879028320E0,8.418609619E0
4.370727540E-1,-5.854949951E-1,2.828155518E0,8.330017090E0
4.395751960E-1,-5.633392334E-1,2.859283447E0,8.303680420E0
4.420471190E-1,-5.286254883E-1,2.841918945E0,8.234848022E0
4.445190430E-1,-4.154968262E-1,2.814392090E0,8.183380127E0
4.470214850E-1,-3.352966309E-1,2.812591553E0,8.188766479E0
4.494934080E-1,-3.574371338E-1,2.809005737E0,8.140274048E0
4.519958500E-1,-3.526458740E-1,2.667739868E0,8.089401245E0
4.544677740E-1,-3.161468506E-1,2.673126221E0,8.124725342E0
4.569396970E-1,-3.245239258E-1,2.735977173E0,8.125320435E0
4.594421390E-1,-3.287048340E-1,2.793441772E0,8.175003052E0
4.619140630E-1,-2.844238281E-1,2.766494751E0,8.148666382E0
4.643859870E-1,-2.425231934E-1,2.740158081E0,8.104965210E0
4.668884280E-1,-3.281097412E-1,2.714431763E0,8.118133545E0
4.693603520E-1,-3.317108154E-1,2.731781006E0,8.239639282E0
4.718627930E-1,-3.825836182E-1,2.639602661E0,8.255798340E0
4.743347170E-1,-3.628234863E-1,2.621658325E0,8.353363037E0
4.768371580E-1,-3.592376709E-1,2.593521118E0,8.461700439E0
4.793090820E-1,-4.460296631E-1,2.619857788E0,8.543106079E0
4.817810060E-1,-5.094757080E-1,2.641998291E0,8.595779419E0
4.842834470E-1,-5.208435059E-1,2.576766968E0,8.705917358E0
4.867553710E-1,-5.244445801E-1,2.578552246E0,8.825622559E0
4.892272950E-1,-5.735168457E-1,2.562393188E0,8.851364136E0
4.917297370E-1,-6.447448730E-1,2.485183716E0,8.916595459E0
4.942016600E-1,-6.704864502E-1,2.560592651E0,8.989028931E0
4.966735840E-1,-6.782684326E-1,2.599502563E0,8.966278076E0
4.991760260E-1,-6.806640625E-1,2.537857056E0,9.070434570E0
5.016479490E-1,-7.536773682E-1,2.502532959E0,9.146438599E0
5.041198730E-1,-7.949829102E-1,2.488174438E0,9.172180176E0
5.066223150E-1,-8.207244873E-1,2.451065063E0,9.131484985E0
5.090942380E-1,-8.739929199E-1,2.439086914E0,9.146438599E0
5.115966800E-1,-9.326477051E-1,2.442687988E0,9.204498291E0
5.140686040E-1,-9.512023926E-1,2.505538940E0,9.211090088E0
5.165405280E-1,-9.883117676E-1,2.501937866E0,9.332595825E0
5.190429690E-1,-9.901123047E-1,2.497756958E0,9.395446777E0
5.215148930E-1,-1.005065918E0,2.503738403E0,9.400833130E0
5.240173340E-1,-1.043975830E0,2.542648315E0,9.365509033E0
5.264892580E-1,-1.064926147E0,2.571975708E0,9.370300293E0
5.289611820E-1,-1.111022949E0,2.467224121E0,9.380477905E0
5.314636230E-1,-1.193618774E0,2.409759521E0,9.464279175E0
5.339355470E-1,-1.173858643E0,2.421737671E0,9.564239502E0
5.364074710E-1,-1.176254272E0,2.473815918E0,9.618103027E0
5.389099120E-1,-1.263641357E0,2.462432861E0,9.612121582E0
5.413818360E-1,-1.277420044E0,2.453460693E0,9.685745239E0
5.438842780E-1,-1.248077393E0,2.481597900E0,9.773727417E0
