"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.492431640E-1,1.043629646E-1,-4.202022552E-1,4.002943039E-1,5.896584549E-1
8.541870120E-1,3.181717396E-1,-2.632775307E-1,2.477855682E-1,4.816077261E-1
8.591613770E-1,3.717892170E-1,-3.201122284E-1,2.519330978E-1,5.515154997E-1
8.641357420E-1,4.864562750E-1,-3.659219742E-1,5.289754868E-1,8.064450783E-1
8.691101080E-1,6.146436930E-1,-1.037316322E-1,5.799837112E-1,8.514271702E-1
8.740539550E-1,4.950407743E-1,-5.104417801E-1,9.155015945E-1,1.159206344E0
8.790283210E-1,5.821876526E-1,-6.852946281E-1,1.216303825E0,1.512602455E0
8.840026860E-1,3.871868849E-1,-3.393540382E-1,3.428125381E-1,6.185428711E-1
8.889770510E-1,5.599880219E-1,5.856466293E-2,3.391122818E-1,6.572773722E-1
8.939208990E-1,7.742347717E-1,3.241229057E-1,-7.843370438E-1,1.148773145E0
8.988952640E-1,1.338475585E0,8.914217949E-1,-4.384848595E0,4.670443973E0
9.038696290E-1,1.260752678E0,4.079432487E-1,-3.196805954E0,3.460561127E0
9.088439940E-1,9.488896132E-1,1.239540577E0,-1.945042610E0,2.494001422E0
9.137878420E-1,6.014856100E-1,1.707103729E0,-1.281260490E0,2.217569960E0
9.187622070E-1,3.616554737E-1,9.315338135E-1,-1.233901024E0,1.587785144E0
9.237365730E-1,1.236145496E-1,7.436618805E-1,-1.037513733E0,1.282477405E0
9.287109380E-1,-4.541814327E-2,8.793172836E-1,-8.442382812E-1,1.219836042E0
9.336547850E-1,-1.243815422E-1,8.458404541E-1,-7.237005234E-1,1.120115748E0
9.386291510E-1,-1.329303980E-1,7.165875435E-1,-6.048917770E-1,9.471337076E-1
9.436035160E-1,-4.711282253E-2,3.205823898E-1,-4.107551575E-1,5.231753875E-1
9.485473640E-1,5.315148830E-2,3.223290443E-1,-2.673854828E-1,4.221564757E-1
9.535217290E-1,6.209146976E-2,3.821520805E-1,-1.824264526E-1,4.279894554E-1
9.584960940E-1,-1.062548161E-2,2.579765320E-1,-1.986217499E-1,3.257535747E-1
9.634704590E-1,-4.101049900E-2,2.004146576E-3,-2.186336517E-1,2.224557289E-1
9.684448250E-1,-7.022523880E-2,-2.261495590E-1,-2.257699966E-1,3.271808347E-1
9.733886720E-1,-7.673227787E-2,-3.010764122E-1,-2.610006332E-1,4.057784851E-1
9.783630370E-1,5.269646645E-3,-3.508377075E-1,-2.723360062E-1,4.441641211E-1
9.833374030E-1,4.489815235E-2,-3.450021744E-1,-2.172956467E-1,4.101947616E-1
9.882812500E-1,9.737145901E-2,-3.193616867E-1,-1.666803360E-1,3.731694285E-1
9.932556160E-1,9.851276875E-2,-2.365040779E-1,-1.458940506E-1,2.948287952E-1
9.982299810E-1,1.461924314E-1,-1.112952232E-1,-1.576423645E-1,2.420949583E-1
1.003204346E0,1.633280516E-1,-4.959106445E-2,-1.969699860E-1,2.606386416E-1
1.008148194E0,2.219038010E-1,3.818798065E-2,-2.953596115E-1,3.713985984E-1
1.013122559E0,2.852959633E-1,1.218628883E-1,-3.879423141E-1,4.967329155E-1
1.018096924E0,3.358091116E-1,1.106615067E-1,-4.804134369E-1,5.964987836E-1
1.023040772E0,3.644407988E-1,-4.189968109E-2,-5.496139526E-1,6.607935956E-1
1.028015137E0,4.104882479E-1,-2.191448212E-1,-6.356668472E-1,7.877800422E-1
1.032989502E0,4.035992622E-1,-4.837427139E-1,-6.930818558E-1,9.366225689E-1
1.037963867E0,4.074040651E-1,-7.709569931E-1,-7.947330475E-1,1.179810737E0
1.042907715E0,4.318647385E-1,-9.372854233E-1,-9.351215363E-1,1.392646188E0
1.047882080E0,4.729449749E-1,-9.414463043E-1,-1.009491920E0,1.459134000E0
1.052856446E0,5.466817617E-1,-8.719372749E-1,-1.033658028E0,1.458624173E0
1.057830811E0,5.969669819E-1,-7.695250511E-1,-8.911056519E-1,1.320078658E0
1.062774659E0,6.548445225E-1,-6.551923752E-1,-6.948976517E-1,1.158007402E0
1.067749024E0,6.448291540E-1,-6.736392975E-1,-4.806118011E-1,1.049086386E0
1.072723389E0,5.757622719E-1,-6.983542442E-1,-4.473857880E-1,1.009631065E0
1.077697754E0,5.038051605E-1,-3.065350056E-1,-4.267873764E-1,7.279634703E-1
1.082672119E0,5.841131210E-1,-1.866164207E-1,-1.540594101E-1,6.322563788E-1
1.087615967E0,6.108605862E-1,-5.933096409E-1,7.044696808E-2,8.544763080E-1
1.092590332E0,5.478510857E-1,-9.951322079E-1,7.854366302E-2,1.138682585E0
1.097564698E0,5.889556408E-1,-8.610653877E-1,1.497459412E-2,1.043324776E0
1.102508545E0,8.027367592E-1,-4.892790318E-1,9.910964966E-2,9.453057696E-1
1.107482910E0,1.079700470E0,-1.476981640E-1,2.935895920E-1,1.128610961E0
1.112457276E0,1.244567633E0,-9.497380257E-2,4.005298615E-1,1.310874817E0
1.117431641E0,1.297469378E0,-4.431042671E-1,4.449605942E-1,1.441443064E0
1.122375489E0,1.309638262E0,-8.644640446E-1,3.599748611E-1,1.609978994E0
1.127349854E0,1.342665195E0,-1.012683392E0,2.626800537E-1,1.702139327E0
1.132324219E0,1.450325966E0,-8.614339828E-1,1.597490311E-1,1.694412484E0
1.137268067E0,1.520506620E0,-6.619596481E-1,-2.694416046E-2,1.658570754E0
1.142242432E0,1.581769228E0,-5.094895363E-1,-2.211561203E-1,1.676449673E0
1.147216797E0,1.623729467E0,-4.401607513E-1,-3.871984482E-1,1.726314429E0
1.152191162E0,1.634892225E0,-4.247105122E-1,-5.129585266E-1,1.765326615E0
1.157135010E0,1.687698126E0,-4.207792282E-1,-5.684127808E-1,1.829883388E0
1.162109375E0,1.734636307E0,-4.176645279E-1,-5.008583069E-1,1.853177223E0
1.167083741E0,1.869469643E0,-3.624246120E-1,-3.382558823E-1,1.934085155E0
1.172058106E0,2.025061846E0,-2.472298145E-1,-1.439867020E-1,2.045172421E0
1.177032471E0,2.106026173E0,-8.267235756E-2,8.206176758E-2,2.109245147E0
1.181976319E0,2.153148890E0,8.980107307E-2,2.169399261E-1,2.165912580E0
1.186950684E0,2.083258390E0,-7.085919380E-2,2.623014450E-1,2.100901853E0
1.191925049E0,1.950866461E0,-2.526388168E-1,3.440332413E-1,1.997014069E0
1.196899414E0,1.807622194E0,-3.383874893E-2,1.837701797E-1,1.817254670E0
1.201873780E0,1.563655853E0,7.916617393E-2,-5.966091156E-2,1.566794924E0
1.206817627E0,1.273075342E0,4.510402679E-2,-3.010721207E-1,1.308968916E0
1.211791992E0,9.761960506E-1,9.429454803E-3,-5.552349091E-1,1.123091024E0
1.216735840E0,6.362085342E-1,-9.070277214E-2,-7.920308113E-1,1.019951517E0
1.221710205E0,3.585135937E-1,-1.419544220E-1,-9.308419228E-1,1.007546396E0
1.226684571E0,-3.087031841E-1,-1.216611862E-1,-8.805828094E-1,9.410234771E-1
1.231658936E0,-2.470681190E0,3.036165237E-2,6.485271454E-2,2.471718683E0
1.236602784E0,-3.277938843E0,-2.497930527E-1,6.343302727E-1,3.348082215E0
1.241577149E0,-2.886403084E0,-4.943287373E-1,4.514589310E-1,2.963021908E0
1.246551514E0,-2.191021919E0,-4.930675030E-1,1.967587471E-1,2.254419353E0
1.251495362E0,-1.453764915E0,-5.499877930E-1,-1.490159035E-1,1.561449564E0
1.256469727E0,-1.150987148E0,-4.673199654E-1,-2.262816429E-1,1.262680778E0
1.261444092E0,-1.278977871E0,-4.682381153E-1,-1.389222145E-1,1.369061981E0
1.266418457E0,-1.555436611E0,-2.547080517E-1,5.673170090E-2,1.577173969E0
1.271362305E0,-1.576595783E0,3.257553577E-1,6.979227066E-2,1.611409873E0
1.276336670E0,-1.869883537E0,4.614408016E-1,3.530836105E-2,1.926301829E0
1.281311035E0,-1.326982021E0,2.049016953E-1,-2.183346748E-1,1.360344081E0
1.286285401E0,-1.111915588E0,9.467577934E-2,-1.790800095E-1,1.130216541E0
1.291229248E0,-1.017969608E0,-2.853250504E-2,-1.561079025E-1,1.030264968E0
1.296203614E0,-8.765735626E-1,-4.060626030E-2,-7.541942596E-2,8.807486411E-1
1.301177979E0,-8.856997490E-1,7.317328453E-2,3.513145447E-2,8.894113750E-1
1.306152344E0,-1.107366562E0,1.252918243E-1,1.496477127E-1,1.124434605E0
1.311096192E0,-1.345666885E0,4.111433029E-2,1.868371964E-1,1.359197518E0
1.316070557E0,-1.448667049E0,-5.461978912E-2,1.954221725E-1,1.462808725E0
1.321044922E0,-1.356353283E0,-1.284117699E-1,1.283435822E-1,1.368450177E0
1.326019287E0,-1.252827168E0,-1.762125492E-1,8.567142487E-2,1.268056137E0
1.330963135E0,-1.280383587E0,-3.211274147E-1,1.408462524E-1,1.327532528E0
1.335937500E0,-1.596483231E0,-3.928394318E-1,5.738048553E-1,1.741359680E0
1.340911866E0,-1.817147255E0,-1.866803169E-1,5.424079895E-1,1.905539324E0
1.345886231E0,-1.594700813E0,-2.785277367E-2,2.289476395E-1,1.611292488E0
1.350830078E0,-1.582842827E0,-1.549985409E-1,2.825927734E-1,1.615324933E0
1.355804444E0,-1.793566704E0,-3.133070469E-1,4.545841217E-1,1.876616517E0
1.360778809E0,-1.948437691E0,-4.424901009E-1,5.146865845E-1,2.063276328E0
1.365753174E0,-2.458061695E0,-3.830008507E-1,-1.199141502E0,2.761647568E0
1.370697022E0,-4.647626877E0,1.454200745E0,-3.997033119E0,6.300111836E0
1.375671387E0,-4.783529282E0,1.985173225E0,-2.821619987E0,5.897847444E0
1.380645752E0,-3.688636303E0,1.356257915E0,-8.707647324E-1,4.025382532E0
1.385620117E0,-1.682592869E0,6.747474670E-1,2.312393188E-1,1.827532361E0
1.390563965E0,-2.237470150E-1,-4.310846329E-2,5.775451660E-1,6.208699422E-1
1.395538330E0,7.331664562E-1,-5.493214130E-1,4.478950500E-1,1.019753423E0
1.400512696E0,1.471331835E0,-6.755838394E-1,3.162899017E-1,1.649627289E0
1.405456543E0,1.931054115E0,-7.473776340E-1,9.941768646E-2,2.073023685E0
1.410430909E0,2.390449286E0,-5.856889486E-1,2.288808823E-1,2.471773814E0
1.415405274E0,2.189193964E0,-7.941412926E-2,4.582815170E-1,2.238056917E0
1.420379639E0,1.877441406E0,3.562612534E-1,8.439855576E-1,2.089023680E0
1.425323487E0,1.871451378E0,6.871136427E-1,1.170499802E0,2.311822918E0
1.430297852E0,1.918219090E0,7.494803667E-1,1.608968735E0,2.613439436E0
1.435272217E0,1.947021723E0,4.948716164E-1,1.984440804E0,2.823791212E0
1.440246582E0,1.833919287E0,2.145477533E-1,2.271292686E0,2.927125067E0
1.445190430E0,1.525669336E0,1.062462330E-1,2.485379219E0,2.918229780E0
