"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.451538080E-1,-1.185455322E-1,1.197814941E-2,7.080078125E-3
3.476562500E-1,-1.249389648E-1,1.197814941E-2,7.080078125E-3
3.501281740E-1,-1.324005127E-1,1.304626465E-2,8.148193359E-3
3.526000980E-1,-1.377258301E-1,1.518249512E-2,8.148193359E-3
3.551025390E-1,-1.473083496E-1,1.730346680E-2,7.080078125E-3
3.575744630E-1,-1.547698975E-1,2.262878418E-2,4.943847656E-3
3.600769040E-1,-1.643524170E-1,2.476501465E-2,-1.449584961E-3
3.625488280E-1,-1.718139648E-1,2.690124512E-2,-3.814697266E-4
3.650207520E-1,-1.835327148E-1,3.329467773E-2,-3.570556641E-3
3.675231930E-1,-1.973876953E-1,3.755187988E-2,-8.895874023E-3
3.699951170E-1,-2.048339844E-1,4.713439941E-2,-7.843017578E-3
3.724670410E-1,-2.112274170E-1,6.524658203E-2,-1.103210449E-2
3.749694820E-1,-2.165527344E-1,7.803344727E-2,-1.316833496E-2
3.774414060E-1,-2.197570801E-1,8.975219727E-2,-1.316833496E-2
3.799438480E-1,-2.250823975E-1,1.057281494E-1,-1.635742188E-2
3.824157710E-1,-2.250823975E-1,1.195678711E-1,-1.316833496E-2
3.849182130E-1,-2.261505127E-1,1.355590820E-1,-1.528930664E-2
3.873901370E-1,-2.261505127E-1,1.430053711E-1,-1.635742188E-2
3.898620600E-1,-2.293395996E-1,1.472778320E-1,-1.849365234E-2
3.923339840E-1,-2.314758301E-1,1.611175537E-1,-2.488708496E-2
3.948364260E-1,-2.346649170E-1,1.707000732E-1,-2.593994141E-2
3.973083490E-1,-2.431945801E-1,1.728363037E-1,-3.128051758E-2
3.998107910E-1,-2.442474365E-1,1.770935059E-1,-3.446960449E-2
4.022827150E-1,-2.442474365E-1,1.770935059E-1,-4.086303711E-2
4.047546390E-1,-2.495727539E-1,1.792297363E-1,-4.937744141E-2
4.072570800E-1,-2.559661865E-1,1.792297363E-1,-5.577087402E-2
4.097290040E-1,-2.612915039E-1,1.802978516E-1,-6.109619141E-2
4.122009280E-1,-2.698211670E-1,1.834869385E-1,-7.281494141E-2
4.147033690E-1,-2.783355713E-1,1.802978516E-1,-7.707214355E-2
4.171752930E-1,-2.890014648E-1,1.760253906E-1,-8.560180664E-2
4.196777340E-1,-2.996520996E-1,1.781616211E-1,-9.411621094E-2
4.221496580E-1,-3.081665039E-1,1.728363037E-1,-1.005096436E-1
4.246215820E-1,-3.145599365E-1,1.781616211E-1,-1.122283936E-1
4.271240230E-1,-3.262786865E-1,1.781616211E-1,-1.228790283E-1
4.295959470E-1,-3.316040039E-1,1.781616211E-1,-1.282196045E-1
4.320678710E-1,-3.422546387E-1,1.834869385E-1,-1.431274414E-1
4.345703120E-1,-3.529052734E-1,1.930847168E-1,-1.516418457E-1
4.370422360E-1,-3.625030518E-1,2.005310059E-1,-1.580352783E-1
