"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.562744140E-1,-1.299926758E0,-1.161941528E0,8.262634277E-1
5.587768560E-1,-1.345733643E0,-1.238632202E0,8.433074951E-1
5.612487800E-1,-1.371307373E0,-1.314270020E0,8.592834473E-1
5.637207030E-1,-1.375564575E0,-1.367538452E0,8.763275146E-1
5.662231450E-1,-1.364913940E0,-1.409088135E0,8.880462646E-1
5.686950690E-1,-1.341476440E0,-1.448501587E0,9.029693604E-1
5.711669920E-1,-1.316970825E0,-1.486846924E0,9.178771973E-1
5.736694340E-1,-1.279693604E0,-1.503890991E0,9.274597168E-1
5.761413580E-1,-1.244537354E0,-1.499633789E0,9.359893799E-1
5.786437990E-1,-1.209381104E0,-1.482589722E0,9.445037842E-1
5.811157230E-1,-1.180618286E0,-1.455947876E0,9.541015625E-1
5.835876470E-1,-1.158248901E0,-1.431457520E0,9.594268799E-1
5.860900880E-1,-1.135879517E0,-1.390975952E0,9.647521973E-1
5.885620120E-1,-1.114578247E0,-1.335571289E0,9.668731689E-1
5.910339360E-1,-1.096466064E0,-1.285507202E0,9.690093994E-1
5.935363770E-1,-1.083679199E0,-1.231185913E0,9.743347168E-1
5.960083010E-1,-1.077285767E0,-1.167266846E0,9.754028320E-1
5.985107420E-1,-1.076217651E0,-1.096954346E0,9.817962646E-1
6.009826660E-1,-1.082611084E0,-1.027709961E0,9.796600342E-1
6.034545900E-1,-1.097534180E0,-9.584808350E-1,9.732666016E-1
6.059570320E-1,-1.117767334E0,-8.871002197E-1,9.711456299E-1
6.084289550E-1,-1.142272949E0,-8.093414307E-1,9.679412842E-1
6.109008790E-1,-1.162506104E0,-7.379608154E-1,9.530334473E-1
6.134033210E-1,-1.192337036E0,-6.719207764E-1,9.391784668E-1
6.158752440E-1,-1.220031738E0,-5.962829590E-1,9.242706299E-1
6.183471680E-1,-1.250930786E0,-5.206451416E-1,9.050903320E-1
6.208496100E-1,-1.281814575E0,-4.450225830E-1,8.880462646E-1
6.233215340E-1,-1.321243286E0,-3.811035156E-1,8.688812256E-1
6.258239750E-1,-1.362777710E0,-3.161163330E-1,8.518371582E-1
6.282958990E-1,-1.410720825E0,-2.511444092E-1,8.283996582E-1
6.307678230E-1,-1.456527710E0,-1.744384766E-1,8.060302734E-1
6.332702640E-1,-1.492736816E0,-9.667968750E-2,7.911071777E-1
6.357421880E-1,-1.518310547E0,-1.251220703E-2,7.804565430E-1
6.382446290E-1,-1.539611816E0,7.696533203E-2,7.772674561E-1
6.407165530E-1,-1.551330566E0,1.707000732E-1,7.623443604E-1
6.431884770E-1,-1.556655884E0,2.751007080E-1,7.612762451E-1
6.456909180E-1,-1.559860229E0,3.869476318E-1,7.793884277E-1
6.481628420E-1,-1.550262451E0,5.275726318E-1,7.868499756E-1
6.506347660E-1,-1.537490845E0,6.735076904E-1,7.943115234E-1
6.531372070E-1,-1.519378662E0,8.098602295E-1,8.070831299E-1
6.556091310E-1,-1.506591797E0,9.291687012E-1,8.230743408E-1
6.581115730E-1,-1.483154297E0,1.042098999E0,8.326568604E-1
6.605834960E-1,-1.463973999E0,1.161407471E0,8.465118408E-1
6.630554200E-1,-1.440551758E0,1.260467529E0,8.614196777E-1
6.655578620E-1,-1.414978027E0,1.340362549E0,8.742065430E-1
6.680297850E-1,-1.392608643E0,1.406417847E0,8.901824951E-1
6.705322270E-1,-1.367034912E0,1.462875366E0,9.029693604E-1
6.730041510E-1,-1.338287354E0,1.500152588E0,9.125518799E-1
