"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.896728510E-1,-4.323722363E0,-5.359751225E0,-5.617573738E0,8.886992909E0
7.946472160E-1,-4.424468994E0,-5.526381016E0,-5.648852348E0,9.056839728E0
7.995910640E-1,-4.516965866E0,-5.764199734E0,-5.596257210E0,9.216673693E0
8.045654290E-1,-4.561818600E0,-6.114583969E0,-5.350123405E0,9.317840228E0
8.095397950E-1,-4.503210068E0,-6.311038971E0,-4.957103729E0,9.202227512E0
8.145141600E-1,-4.331732273E0,-6.384246826E0,-4.678661346E0,9.022881137E0
8.194885250E-1,-4.191934586E0,-6.515511036E0,-4.544868946E0,8.982206486E0
8.244323730E-1,-4.165633678E0,-6.589120865E0,-4.483643532E0,8.992890360E0
8.294067380E-1,-4.161787987E0,-6.693344593E0,-4.506796360E0,9.079237552E0
8.343811030E-1,-4.502109528E0,-6.639397144E0,-4.560783863E0,9.227748051E0
8.393249510E-1,-5.094594002E0,-6.712220192E0,-4.649521351E0,9.624283700E0
8.442993160E-1,-5.644918442E0,-6.957706451E0,-4.772092819E0,1.015123900E1
8.492736810E-1,-6.046894073E0,-7.455066204E0,-4.808653831E0,1.073620472E1
8.542480470E-1,-6.349614143E0,-7.993382454E0,-4.934648514E0,1.133854130E1
8.591918940E-1,-6.791420937E0,-8.405493736E0,-4.959962368E0,1.189020395E1
8.641662590E-1,-7.157345295E0,-8.810482025E0,-4.878139019E0,1.235509715E1
8.691406250E-1,-7.265349865E0,-9.175069809E0,-4.701819420E0,1.261246687E1
8.741149900E-1,-7.374787807E0,-9.374202728E0,-4.334115505E0,1.269045820E1
8.790588380E-1,-7.350004673E0,-9.598468781E0,-3.948369026E0,1.271781387E1
8.840332030E-1,-7.156508446E0,-9.879904747E0,-3.529021263E0,1.269968984E1
8.890075680E-1,-6.947926521E0,-9.903972626E0,-3.291911125E0,1.253790395E1
8.939819330E-1,-6.629103661E0,-9.998601913E0,-3.367695808E0,1.246027410E1
8.989562980E-1,-6.559583187E0,-1.007347870E1,-3.409531116E0,1.249511933E1
9.039001460E-1,-6.513786316E0,-1.036962032E1,-3.401207924E0,1.270931364E1
9.088745110E-1,-6.539649963E0,-1.073408985E1,-3.307654858E0,1.299724152E1
9.138488770E-1,-6.608889580E0,-1.092246246E1,-3.074912071E0,1.313136291E1
9.187927240E-1,-6.444206238E0,-1.134563923E1,-2.872895718E0,1.336057085E1
9.237670890E-1,-6.445170879E0,-1.180862427E1,-2.524110317E0,1.368776708E1
9.287414550E-1,-6.431048393E0,-1.196146965E1,-2.416797161E0,1.379405844E1
9.337158200E-1,-6.286262512E0,-1.212150574E1,-1.995256424E0,1.379960311E1
9.386596680E-1,-5.945365906E0,-1.245356464E1,-1.569487095E0,1.388891421E1
9.436340330E-1,-5.433445930E0,-1.283099174E1,-1.545494080E0,1.401945918E1
9.486083980E-1,-5.296216488E0,-1.305744362E1,-1.804445744E0,1.420573009E1
9.535827630E-1,-5.558034420E0,-1.311762428E1,-1.933100700E0,1.437708913E1
9.585266110E-1,-5.613939285E0,-1.378215313E1,-1.626288891E0,1.497026636E1
9.635009760E-1,-5.784644604E0,-1.430038738E1,-1.221630573E0,1.547435213E1
9.684753410E-1,-5.678505898E0,-1.493902397E1,-8.511729240E-1,1.600451067E1
9.734497070E-1,-6.062746525E0,-1.508817101E1,-5.500168800E-1,1.626998212E1
9.783935540E-1,-6.794146538E0,-1.548080730E1,-1.025500298E-1,1.690639934E1
9.833679200E-1,-7.483836651E0,-1.606359100E1,7.316951752E-1,1.773646371E1
9.883422850E-1,-7.822664261E0,-1.683895302E1,1.864167452E0,1.866064134E1
9.933166500E-1,-8.014508247E0,-1.722323227E1,2.762413263E0,1.919643194E1
9.982604980E-1,-8.085004807E0,-1.732303429E1,3.368383884E0,1.941135826E1
1.003234863E0,-8.118630409E0,-1.734850883E1,3.932218075E0,1.955365075E1
1.008209228E0,-8.009839058E0,-1.739579964E1,4.563418865E0,1.968746196E1
1.013183593E0,-7.607941628E0,-1.732109833E1,5.035682678E0,1.957701007E1
1.018127441E0,-6.943148613E0,-1.713995361E1,5.215259552E0,1.921416807E1
1.023101806E0,-6.166663170E0,-1.699763298E1,5.126740456E0,1.879443347E1
1.028076172E0,-5.307433128E0,-1.679486465E1,4.901773930E0,1.828288032E1
