"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.438232430E-1,-5.956268311E-1,3.064270020E-1,1.017761230E-2,6.699047792E-1
5.462951660E-1,-6.030731201E-1,3.277282715E-1,6.988525391E-3,6.864050172E-1
5.487976080E-1,-6.116027832E-1,3.511657715E-1,9.109497070E-3,7.053072709E-1
5.512695320E-1,-6.190643311E-1,3.724670410E-1,1.763916016E-2,7.226918310E-1
5.537719730E-1,-6.307830811E-1,3.852539062E-1,1.870727539E-2,7.393631244E-1
5.562438970E-1,-6.361083984E-1,4.022979736E-1,1.977539062E-2,7.529067806E-1
5.587158210E-1,-6.467590332E-1,4.204101562E-1,1.870727539E-2,7.716164259E-1
5.612182620E-1,-6.552734375E-1,4.342498779E-1,1.231384277E-2,7.861983624E-1
5.636901860E-1,-6.669921875E-1,4.417114258E-1,8.056640625E-3,8.000327939E-1
5.661621100E-1,-6.765899658E-1,4.342498779E-1,5.920410156E-3,8.039788490E-1
5.686645510E-1,-6.840362549E-1,4.321289062E-1,8.056640625E-3,8.091389862E-1
5.711364750E-1,-6.904296875E-1,4.257354736E-1,1.443481445E-2,8.112658077E-1
5.736389160E-1,-6.957550049E-1,4.097595215E-1,2.082824707E-2,8.077200679E-1
5.761108400E-1,-6.925659180E-1,3.916473389E-1,2.722167969E-2,7.961006272E-1
5.785827640E-1,-6.882934570E-1,3.777923584E-1,3.361511230E-2,7.858784415E-1
5.810852060E-1,-6.765899658E-1,3.660736084E-1,3.575134277E-2,7.701052052E-1
5.835571290E-1,-6.605987549E-1,3.405151367E-1,4.214477539E-2,7.443906605E-1
5.860290530E-1,-6.392974854E-1,3.128204346E-1,4.533386230E-2,7.131711282E-1
5.885314950E-1,-6.243896484E-1,2.851104736E-1,5.065917969E-2,6.882708535E-1
5.910034180E-1,-6.052093506E-1,2.510223389E-1,5.705261230E-2,6.576819697E-1
5.935058600E-1,-5.743103027E-1,2.158813477E-1,6.983947754E-2,6.175067876E-1
5.959777840E-1,-5.476837158E-1,1.732635498E-1,8.261108398E-2,5.803467080E-1
5.984497070E-1,-5.178527832E-1,1.338500977E-1,9.753417969E-2,5.436913370E-1
6.009521490E-1,-4.848327637E-1,9.976196289E-2,1.124420166E-1,5.076006945E-1
6.034240730E-1,-4.539489746E-1,7.951354980E-2,1.273651123E-1,4.781359095E-1
6.058959970E-1,-4.187927246E-1,6.993103027E-2,1.326904297E-1,4.448420454E-1
6.083984380E-1,-3.857727051E-1,6.034851074E-2,1.454620361E-1,4.166794052E-1
6.108703620E-1,-3.495483398E-1,5.076599121E-2,1.593170166E-1,3.874830829E-1
6.133728030E-1,-3.197174072E-1,3.372192383E-2,1.731719971E-1,3.651642496E-1
6.158447270E-1,-2.813720703E-1,3.890991211E-3,1.902160645E-1,3.396579646E-1
6.183166510E-1,-2.451477051E-1,-3.659057617E-2,2.147064209E-1,3.279254713E-1
6.208190920E-1,-2.089385986E-1,-7.707214355E-2,2.392120361E-1,3.268300040E-1
6.232910160E-1,-1.822967529E-1,-1.058349609E-1,2.658386230E-1,3.392687999E-1
6.257629400E-1,-1.641845703E-1,-1.186218262E-1,2.967376709E-1,3.592783825E-1
6.282653810E-1,-1.524658203E-1,-1.260681152E-1,3.286895752E-1,3.836350256E-1
6.307373050E-1,-1.471405029E-1,-1.303405762E-1,3.681030273E-1,4.172994514E-1
6.332397470E-1,-1.418151855E-1,-1.377868652E-1,4.064636230E-1,4.520060220E-1
6.357116700E-1,-1.343688965E-1,-1.409912109E-1,4.458770752E-1,4.865592339E-1
6.381835940E-1,-1.258392334E-1,-1.409912109E-1,4.767608643E-1,5.128498376E-1
6.406860360E-1,-1.258392334E-1,-1.388549805E-1,5.108489990E-1,5.441350182E-1
6.431579590E-1,-1.205139160E-1,-1.345977783E-1,5.417480469E-1,5.710789019E-1
6.456298830E-1,-1.109313965E-1,-1.345977783E-1,5.673065186E-1,5.935141301E-1
6.481323250E-1,-1.098632812E-1,-1.409912109E-1,5.960693359E-1,6.222918249E-1
6.506042490E-1,-1.024017334E-1,-1.665496826E-1,6.216430664E-1,6.516632672E-1
6.531066900E-1,-1.013336182E-1,-2.006378174E-1,6.482696533E-1,6.861323337E-1
6.555786140E-1,-1.045379639E-1,-2.091674805E-1,6.663818359E-1,7.062180768E-1
6.580505380E-1,-1.130523682E-1,-1.867980957E-1,6.844940186E-1,7.184750712E-1
6.605529790E-1,-1.322326660E-1,-1.601562500E-1,7.036743164E-1,7.336845684E-1
6.630249030E-1,-1.396942139E-1,-1.388549805E-1,7.196502686E-1,7.461177441E-1
6.654968270E-1,-1.482086182E-1,-1.186218262E-1,7.345581055E-1,7.586913354E-1
